Character_ID,Name,Alias,Status,Gender,Age,Height,Weight,Race,Affiliation,Family,Mentor,Rank,Breathing_Style,Demon_Art,Weapon,Special_Abilities,First_Appearance,Last_Appearance,Allies,Enemies,Personality,Voice_Actor_Japanese,Voice_Actor_English,Role
1,Tanjiro Kamado,Child of Brightness,Alive,Male,16,165 cm,61 kg,Human,Demon Slayer Corps,"Nezuko Kamado,Kie Kamado,Tanjuro Kamado,Hanako Kamado,Shigeru Kamado,Takeo Kamado,Rokuta Kamado",Sakonji Urokodaki,Mizunoto,Water Breathing,null,Nichirin Sword,"Enhanced smell,Demon Slayer Mark,Adaptive fighting style",Manga Chapter 1,null,"Nezuko Kamado,Zenitsu Agatsuma,Inosuke Hashibira,Hashira","Muzan Kibutsuji,Demons","Kind,Empathetic,Determined",Natsuki Hanae,Zach Aguilar,Protagonist
2,Nezuko Kamado,null,Alive,Female,14,153 cm,45 kg,Hybrid,Demon Slayer Corps,"Tanjiro Kamado (brother), Kie Kamado (mother), Tanjuro Kamado (father), Hanako Kamado (sister), Shigeru Kamado (brother), Takeo Kamado (brother), Rokuta Kamado (brother)",null,null,null,null,null,null,Manga Chapter 1,null,"Tanjiro Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Muzan Kibutsuji, Demons","Protective, Compassionate, Strong-willed",Akari Kito,Abby Trott,Deuteragonist
3,Zenitsu Agatsuma,null,Alive,Male,16,164 cm,53 kg,Human,Demon Slayer Corps,null,null,null,Thunder Breathing,null,Nichirin Sword,"Super hearing, Enhanced speed and reflexes, Lightning-fast attack",Manga Chapter 1,null,"Tanjiro Kamado, Nezuko Kamado, Inosuke Hashibira",Demons,"Cowardly, Timid, Loyal, Compassionate",Hiro Shimono,Aleks Le,Tertiary Protagonist
4,Inosuke Hashibira,null,Alive,Male,15,165 cm,55 kg,Human,Demon Slayer Corps,null,null,null,Beast Breathing,null,Dual Nichirin Swords,"Enhanced smell, Superhuman strength and agility, Adaptive combat style",Manga Chapter 1,null,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma",Demons,"Hot-headed, Reckless, Brave, Loyal",Yoshitsugu Matsuoka,Bryce Papenbrook,Tertiary Protagonist
5,Kanao Tsuyuri,null,Alive,Female,16,158 cm,45 kg,Human,Demon Slayer Corps,null,Shinobu Kocho,null,Flower Breathing,null,Nichirin Sword,"Enhanced reflexes, Exceptional swordsmanship, Calm demeanor",Manga Chapter 23,null,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira",Demons,"Quiet, Observant, Disciplined, Loyal",Nao Toyama,Brianna Knickerbocker,Supporting Protagonist
6,Genya Shinazugawa,null,Alive,Male,17,170 cm,60 kg,Human,Demon Slayer Corps,"Sanemi Shinazugawa (older brother), null",null,null,null,null,Gun-like Nichirin Sword,"Ability to consume demon flesh for temporary powers, Enhanced combat skills",Manga Chapter 30,null,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Hot-headed, Determined, Loyal, Impulsive",Kensho Ono,Zach Aguilar,null
7,Giyu Tomioka,null,Alive,Male,20,176 cm,65 kg,Human,Demon Slayer Corps,null,null,Hashira,Water Breathing,null,Nichirin Sword,"Exceptional swordsmanship, Enhanced reflexes, Calm and strategic mind",Manga Chapter 1,null,"Tanjiro Kamado, Hashira",Demons,"Calm, Stoic, Serious, Loyal",Takahiro Sakurai,Johnny Yong Bosch,null
8,Mitsuri Kanroji,Love Hashira,Alive,Female,19,168 cm,54 kg,Human,Demon Slayer Corps,null,null,Hashira,Love Breathing,null,Nichirin Sword (Whip-like),"Superhuman strength, Enhanced agility, Exceptional swordsmanship",Manga Chapter 45,null,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Cheerful, Loving, Passionate, Loyal",Romi Park,Cherami Leigh,Supporting Protagonist
9,Obanai Iguro,Serpent Hashira,Deceased,Male,21,165 cm,58 kg,Human,Demon Slayer Corps,null,null,Hashira,Serpent Breathing,null,Nichirin Sword (White with serrated edge),"Enhanced agility, Exceptional swordsmanship, Serpent-like combat style",Manga Chapter 45,Manga Chapter 205,"Tanjiro Kamado, Mitsuri Kanroji, Hashira",Demons,"Serious, Loyal, Disciplined, Protective",Akira Ishida,Billy Kametz,Supporting Protagonist
10,Sanemi Shinazugawa,Wind Hashira,Alive,Male,21,177 cm,69 kg,Human,Demon Slayer Corps,Genya Shinazugawa (younger brother),null,Hashira,Wind Breathing,null,Nichirin Sword,"Exceptional swordsmanship, High endurance, Superhuman agility",Manga Chapter 30,null,"Tanjiro Kamado, Hashira",Demons,"Hot-headed, Stubborn, Loyal, Protective",Toshihiko Seki,Bryce Papenbrook,Supporting Protagonist
11,Gyomei Himejima,Stone Hashira,Deceased,Male,25,208 cm,150 kg,Human,Demon Slayer Corps,null,null,Hashira,Stone Breathing,null,Spiked Flail & Ax Nichirin Weapon,"Exceptional strength, Enhanced perception, Tremendous combat skills",Manga Chapter 45,Manga Chapter 205,"Tanjiro Kamado, Hashira",Demons,"Gentle, Compassionate, Devout, Loyal",Hiroshi Shirokuma,Patrick Seitz,Supporting Protagonist
12,Muichiro Tokito,Mist Hashira,Deceased,Male,14,164 cm,50 kg,Human,Demon Slayer Corps,null,null,Hashira,Mist Breathing,null,Nichirin Sword,"Exceptional swordsmanship, Enhanced reflexes, High-speed combat",Manga Chapter 45,Manga Chapter 205,"Tanjiro Kamado, Hashira",Demons,"Calm, Forgetful, Detached, Innocent",Kenshō Ono,Zach Aguilar,Supporting Protagonist
13,Shinobu Kocho,Insect Hashira,Deceased,Female,18,151 cm,41 kg,Human,Demon Slayer Corps,Kanae Kocho (older sister),null,Hashira,Insect Breathing,null,Nichirin Sword (Poison Edge),"Mastery of poison, Enhanced agility, Exceptional swordsmanship",Manga Chapter 23,Manga Chapter 201,"Tanjiro Kamado, Kanao Tsuyuri, Hashira",Demons,"Calm, Polite, Intelligent, Strategic",Saori Hayami,Brianna Knickerbocker,Supporting Protagonist
14,Kyojuro Rengoku,Flame Hashira,Deceased,Male,20,177 cm,72 kg,Human,Demon Slayer Corps,null,null,Hashira,Flame Breathing,null,Nichirin Sword,"Exceptional strength, Flame Breathing techniques, Exceptional combat skills",Manga Chapter 44,Manga Chapter 200,"Tanjiro Kamado, Hashira",Demons,"Passionate, Courageous, Kind, Determined",Satoshi Hino,Robert McCollum,Supporting Protagonist
15,Kanae Kocho,null,Deceased,Female,19,159 cm,45 kg,Human,Demon Slayer Corps,Shinobu Kocho (younger sister),null,Hashira,Flower Breathing,null,Nichirin Sword,"Exceptional swordsmanship, Healing knowledge, Tactical combat skills",Manga Chapter 23,Manga Chapter 201,"Tanjiro Kamado, Hashira",Demons,"Kind, Gentle, Compassionate, Strong-willed",Romi Park,Brianna Knickerbocker,Supporting Protagonist
16,Tengen Uzui,Sound Hashira,Alive,Male,21,198 cm,90 kg,Human,Demon Slayer Corps,null,null,Hashira,Sound Breathing,null,Dual Nichirin Cleavers & Chain Weapon,"Superhuman strength, Enhanced agility, Exceptional combat skills, Flashy techniques",Manga Chapter 57,null,"Tanjiro Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Flashy, Confident, Loyal, Strategic",Junichi Suwabe,Jason Marnocha,Supporting Protagonist
17,Kagaya Ubuyashiki,Leader of Demon Slayer Corps,Deceased,Male,42,172 cm,58 kg,Human,Demon Slayer Corps,"Amane Ubuyashiki, Hinaki Ubuyashiki, Nichika Ubuyashiki, Kiriya Ubuyashiki, Kanata Ubuyashiki, Kuina Ubuyashiki",null,null,null,null,null,"Exceptional leadership, Strategic mind, Inspirational presence",Manga Chapter 44,Manga Chapter 205,"Hashira, Tanjiro Kamado, Nezuko Kamado","Muzan Kibutsuji, Demons","Kind, Calm, Wise, Compassionate",Takehito Koyasu,Ray Chase,Supporting Protagonist
18,Amane Ubuyashiki,null,Alive,Female,17,158 cm,48 kg,Human,Demon Slayer Corps,"Kagaya Ubuyashiki (father), Hinaki Ubuyashiki (sister), Nichika Ubuyashiki (sister), Kiriya Ubuyashiki (brother), Kanata Ubuyashiki (brother), Kuina Ubuyashiki (sister)",null,null,null,null,null,"Leadership support, Calm demeanor, Insightful",Manga Chapter 44,null,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Calm",Nao Toyama,Erica Mendez,Supporting Protagonist
19,Hinaki Ubuyashiki,null,Alive,Female,19,160 cm,50 kg,Human,Demon Slayer Corps,"Kagaya Ubuyashiki (father), Amane Ubuyashiki (sister), Nichika Ubuyashiki (sister), Kiriya Ubuyashiki (brother), Kanata Ubuyashiki (brother), Kuina Ubuyashiki (sister)",null,null,null,null,null,"Supportive role, Insightful, Calm",Manga Chapter 44,null,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
20,Nichika Ubuyashiki,null,Alive,Female,15,155 cm,46 kg,Human,Demon Slayer Corps,"Kagaya Ubuyashiki (father), Amane Ubuyashiki (sister), Hinaki Ubuyashiki (sister), Kiriya Ubuyashiki (brother), Kanata Ubuyashiki (brother), Kuina Ubuyashiki (sister)",null,null,null,null,null,"Supportive role, Observant, Calm",Manga Chapter 44,null,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
21,Kiriya Ubuyashiki,null,Alive,Male,16,165 cm,52 kg,Human,Demon Slayer Corps,"Kagaya Ubuyashiki (father), Amane Ubuyashiki (sister), Hinaki Ubuyashiki (sister), Nichika Ubuyashiki (sister), Kanata Ubuyashiki (brother), Kuina Ubuyashiki (sister)",null,null,null,null,null,"Supportive role, Observant, Calm",Manga Chapter 44,null,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
22,Kanata Ubuyashiki,null,Alive,Male,14,150 cm,45 kg,Human,Demon Slayer Corps,"Kagaya Ubuyashiki (father), Amane Ubuyashiki (sister), Hinaki Ubuyashiki (sister), Nichika Ubuyashiki (sister), Kiriya Ubuyashiki (brother), Kuina Ubuyashiki (sister)",null,null,null,null,null,"Supportive role, Observant, Calm",Manga Chapter 44,null,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
23,Kuina Ubuyashiki,null,Alive,Female,12,145 cm,40 kg,Human,Demon Slayer Corps,"Kagaya Ubuyashiki (father), Amane Ubuyashiki (sister), Hinaki Ubuyashiki (sister), Nichika Ubuyashiki (sister), Kiriya Ubuyashiki (brother), Kanata Ubuyashiki (brother)",null,null,null,null,null,"Supportive role, Observant, Calm",Manga Chapter 44,null,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
24,Muzan Kibutsuji,Demon King,Deceased,Male,2000+,184 cm,75 kg,Demon,null,null,null,null,null,null,null,"Superhuman strength, Immortality, Regeneration, Blood Demon Art, Shapeshifting",Manga Chapter 1,Manga Chapter 205,null,"Demon Slayer Corps, Tanjiro Kamado, Hashira","Manipulative, Ruthless, Cunning, Charismatic",Toshihiko Seki,Todd Haberkorn,Antagonist
25,Tamayo,null,Alive,Female,100+,160 cm,50 kg,Demon (turned healer),null,null,null,null,null,null,null,"Healing, Medical expertise, Blood Demon Art, Strategic intelligence",Manga Chapter 19,Manga Chapter 205,"Yushiro, Tanjiro Kamado","Muzan Kibutsuji, Demons","Calm, Wise, Compassionate, Strategic",Yuki Kaida,Laura Stahl,Supporting Protagonist
26,Yushiro,null,Alive,Male,100+,158 cm,50 kg,Demon,null,Tamayo (mentor),Tamayo,null,null,null,null,"Blood Demon Art, Enhanced strength, Shapeshifting, Loyalty to Tamayo",Manga Chapter 19,Manga Chapter 205,Tamayo,"Muzan Kibutsuji, Demons","Loyal, Calm, Observant, Protective",Nobuhiko Okamoto,Michael Johnston,Supporting Protagonist
27,Kokushibo,Upper Rank One,Deceased,Male,500+,208 cm,93 kg,Demon,null,null,null,null,null,null,null,"Moon Breathing techniques, Immortality, Superhuman strength, Exceptional combat skills",Manga Chapter 66,Manga Chapter 203,null,"Demon Slayer Corps, Tanjiro Kamado","Prideful, Ruthless, Calm, Skilled",Tomokazu Sugita,Matthew Mercer,Antagonist
28,Doma,Upper Rank Two,Deceased,Male,136,195 cm,86 kg,Demon,null,null,null,null,null,null,null,"Ice Manipulation, Blood Demon Art, Immortality, Superhuman abilities",Manga Chapter 101,Manga Chapter 199,null,"Demon Slayer Corps, Tanjiro Kamado","Charismatic, Sadistic, Calm, Manipulative",Tomokazu Sugita,Zach Aguilar,Antagonist
29,Akaza,Upper Rank Three,Deceased,Male,20+,173 cm,74 kg,Demon,null,null,null,null,null,null,null,"Martial arts mastery, Superhuman strength, Regeneration, Blood Demon Art",Manga Chapter 66,Manga Chapter 198,null,"Demon Slayer Corps, Tanjiro Kamado","Prideful, Ruthless, Proud, Loyal to Muzan",Kensho Ono,Greg Chun,Antagonist
30,Hantengu,Upper Rank Four,Deceased,Male,200+,170 cm,null,Demon,null,null,null,null,null,null,null,"Blood Demon Art, Multiple clones with independent personalities, Superhuman abilities",Manga Chapter 102,Manga Chapter 198,null,"Demon Slayer Corps, Tanjiro Kamado","Cunning, Fearful of strong opponents, Calculative",K?ki Uchiyama,Zach Aguilar,Antagonist
31,Gyokko,Upper Rank Five,Deceased,Male,200+,180 cm,null,Demon,null,null,null,null,null,null,null,"Blood Demon Art, Creation of grotesque pots and monsters, Superhuman abilities",Manga Chapter 102,Manga Chapter 198,null,"Demon Slayer Corps, Tanjiro Kamado","Obsessive, Artistic, Cunning, Sadistic",Rikiya Koyama,Matthew Mercer,Antagonist
32,Gyutaro,Upper Rank Six,Deceased,Male,45,175 cm,60 kg,Demon,null,Daki (sister),null,null,null,null,null,"Blood Demon Art, Poisonous blades, Regeneration, Enhanced agility and strength",Manga Chapter 90,Manga Chapter 200,Daki,"Demon Slayer Corps, Tanjiro Kamado","Aggressive, Protective of sister, Sadistic, Ruthless",Takuya Eguchi,Zach Aguilar,Antagonist
33,Daki,Upper Rank Six,Deceased,Female,20+,172 cm,50 kg,Demon,null,Gyutaro (brother),null,null,null,null,null,"Blood Demon Art, Obi manipulation, Regeneration, Enhanced agility and speed",Manga Chapter 90,Manga Chapter 200,Gyutaro,"Demon Slayer Corps, Tanjiro Kamado","Arrogant, Prideful, Sadistic, Protective of brother",Akari Kito,Abby Trott,Antagonist
