Character_ID,Name,Alias,Status,Gender,Age,Height,Weight,Race,Affiliation,Family,Mentor,Rank,Breathing_Style,Demon_Art,Weapon,Special_Abilities,First_Appearance,Last_Appearance,Allies,Enemies,Personality,Voice_Actor_Japanese,Voice_Actor_English,Role
34,Enmu,Lower Rank One,Deceased,Male,200+,168 cm,62 kg,Demon,null,null,null,null,null,null,null,"Blood Demon Art, Sleep manipulation, Regeneration, Shapeshifting",Manga Chapter 82,Manga Chapter 105,null,"Demon Slayer Corps, Tanjiro Kamado","Cunning, Sadistic, Manipulative, Arrogant",Takahiro Sakurai,Zach Aguilar,Antagonist
35,Rokuro,null,Deceased,Male,15,160 cm,65 kg,Human,null,null,null,null,null,null,null,"Enhanced combat skills, Swordsmanship",Manga Chapter 5,Manga Chapter 7,null,Demons,"Courageous, Loyal, Determined",null,null,Supporting Character
36,Wakuraba,null,Deceased,Male,15,158 cm,null,Human,null,null,null,null,null,null,null,"Basic swordsmanship, Enhanced reflexes",Manga Chapter 5,Manga Chapter 7,null,Demons,"Brave, Loyal, Determined",null,null,Supporting Character
37,Mukago,null,Deceased,Male,14,155 cm,null,Human,null,null,null,null,null,null,null,"Basic sword skills, Agility",Manga Chapter 6,Manga Chapter 7,null,Demons,"Loyal, Brave, Determined",null,null,Supporting Character
38,Rui,Lower Rank Five,Deceased,Male,14,157 cm,45 kg,Demon,null,null,null,null,null,null,null,"Blood Demon Art, Spider Thread manipulation, Superhuman strength and regeneration",Manga Chapter 19,Manga Chapter 25,null,"Demon Slayer Corps, Tanjiro Kamado","Cold, Arrogant, Proud, Emotionally conflicted",Natsuki Hanae,Zach Aguilar,Antagonist
39,Kamanue,null,Deceased,Male,15,160 cm,null,Human,null,null,null,null,null,null,null,"Basic swordsmanship, Agility",Manga Chapter 6,Manga Chapter 8,null,Demons,"Loyal, Brave, Determined",null,null,Supporting Character
40,Kyogai,Drum Demon,Deceased,Male,22,180 cm,70 kg,Demon,null,null,null,null,null,null,null,"Blood Demon Art, Manipulation of drums to attack, Superhuman strength and speed",Manga Chapter 15,Manga Chapter 20,null,"Demon Slayer Corps, Tanjiro Kamado","Aggressive, Easily angered, Proud",Shin-ichiro Miki,Todd Haberkorn,Antagonist
41,Sabito,null,Deceased,Male,13,160 cm,72 kg,Human,null,null,Sakonji Urokodaki,null,null,null,null,"Exceptional swordsmanship, Mastery of Water Breathing",Manga Chapter 7,Manga Chapter 15,Makomo,Demons,"Serious, Disciplined, Determined",K?ki Uchiyama,Zach Aguilar,Supporting Character
42,Makomo,null,Deceased,Female,13,158 cm,null,Human,null,null,Sakonji Urokodaki,null,null,null,null,"Exceptional swordsmanship, Mastery of Water Breathing",Manga Chapter 7,Manga Chapter 15,Sabito,Demons,"Kind, Gentle, Loyal",Nao Toyama,Brianna Knickerbocker,Supporting Character
43,Aoi Kanzaki,null,Alive,Female,16,158 cm,45 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Healing skills, Support in missions, Agility",Manga Chapter 8,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado",Demons,"Kind, Caring, Responsible",Nao Toyama,Brianna Knickerbocker,Supporting Character
44,Sumi Nakahara,null,Alive,Female,16,157 cm,44 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support skills, Assists in missions, Agility",Manga Chapter 8,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Cheerful, Supportive, Loyal",Nao Toyama,Brianna Knickerbocker,Supporting Character
45,Kiyo Terauchi,null,Alive,Female,17,160 cm,48 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support and supply skills, Medical aid, Agility",Manga Chapter 10,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Kind, Helpful, Responsible",null,null,Supporting Character
46,Naho Takada,null,Alive,Female,17,159 cm,47 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support and supply skills, Healing assistance",Manga Chapter 10,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Gentle, Supportive, Loyal",null,null,Supporting Character
47,Goto,null,Alive,Male,18,172 cm,60 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support in missions, Agility, Combat assistance",Manga Chapter 12,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Calm, Responsible, Supportive",null,null,Supporting Character
48,Masao Maeda,null,Alive,Male,16,165 cm,55 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support and supply, Agility, Minor combat skills",Manga Chapter 12,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Helpful, Loyal, Cheerful",null,null,Supporting Character
49,Hotaru Haganezuka,null,Alive,Male,37,170 cm,70 kg,Human,null,null,null,null,null,null,null,"Master swordsmith, Forging and repairing Nichirin swords, Passionate craftsmanship",Manga Chapter 2,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",null,"Hot-headed, Loyal, Passionate",null,null,Supporting Character
50,Kozo Kanamori,null,Alive,Male,26,168 cm,65 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support and logistics for missions, Resource management",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Responsible, Calm, Efficient",null,null,Supporting Character
51,Tecchin Tecchikawahara,null,Alive,Male,25,167 cm,64 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support skills, Logistics, Assisting Demon Slayers",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Energetic, Loyal, Helpful",null,null,Supporting Character
52,Kotetsu,null,Alive,Male,10,168 cm,63 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support in missions, Tracking demons, Combat assistance",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Calm, Loyal, Observant",null,null,Supporting Character
53,Tetsumotonaka,null,Alive,Male,null,169 cm,65 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Mission support, Agility, Combat assistance",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Calm, Responsible",null,null,Supporting Character
54,Tetsuido,null,Alive,Male,null,170 cm,66 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support in logistics, Combat assistance, Agility",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Reliable, Loyal, Observant",null,null,Supporting Character
55,Takeuchi,null,Alive,Male,28,168 cm,64 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support skills, Assisting in missions, Combat aid",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Calm, Observant",null,null,Supporting Character
56,Nagakura,null,Alive,Male,null,171 cm,67 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Mission support, Combat assistance, Agility",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Observant, Responsible",null,null,Supporting Character
57,Ozaki,null,Alive,Male,21,169 cm,65 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support in missions, Combat assistance, Tracking demons",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Calm, Observant",null,null,Supporting Character
58,Murata,null,Alive,Male,21,172 cm,68 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support in missions, Combat assistance, Agility",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Observant, Calm",null,null,Supporting Character
59,Yoriichi Tsugikuni,null,Deceased,Male,110+,178 cm,65 kg,Human,null,null,null,null,Sun Breathing,null,Nichirin Sword,"Exceptional swordsmanship, Demon Slayer Mark, Immense strength",Manga Chapter 16,Manga Chapter 200,null,Muzan Kibutsuji,"Calm, Focused, Determined",null,null,Legendary Protagonist
60,Michikatsu Tsugikuni,Kokushibo,Deceased,Male,110+,180 cm,70 kg,Demon,null,null,null,Upper Rank One,Moon Breathing,null,Nichirin Sword,"Immense strength, Demon abilities, Moon Breathing techniques",Manga Chapter 17,Manga Chapter 200,null,"Demon Slayer Corps, Yoriichi Tsugikuni","Prideful, Obsessed, Determined",null,null,Antagonist
61,Kaburamaru,null,Alive,Male,null,null,null,Animal (Ninja Dog),Demon Slayer Corps,null,Yoriichi Tsugikuni,null,null,null,null,"Tracking, Assisting in combat, Alert system",Manga Chapter 16,Manga Chapter 200,Yoriichi Tsugikuni,Demons,"Loyal, Alert, Brave",null,null,Supporting Animal
62,Kotoha Hashibira,null,Deceased,Female,null,164 cm,null,Human,null,null,null,null,null,null,null,"Supportive, Caring, Protective of family",Manga Chapter 1,Manga Chapter 1,Inosuke Hashibira,null,"Kind, Loving, Supportive",null,null,Supporting Character
63,Sakonji Urokodaki,null,Deceased,Male,80+,175 cm,70 kg,Human,Demon Slayer Corps,null,null,null,Water Breathing,null,Nichirin Sword,"Expert in Water Breathing, Teaching skills, Combat experience",Manga Chapter 1,Manga Chapter 54,"Tanjiro Kamado, Other Students",Demons,"Wise, Strict, Caring, Patient",null,null,Supporting Mentor
64,Jigoro Kuwajima,null,Deceased,Male,80+,178 cm,72 kg,Human,Demon Slayer Corps,null,null,null,Thunder Breathing,null,Nichirin Sword,"Mastery of Thunder Breathing, Combat expertise",Manga Chapter 21,Manga Chapter 68,"Zenitsu Agatsuma, Other Students",Demons,"Strict, Kind, Wise",null,null,Supporting Mentor
65,Shinjuro Rengoku,null,Deceased,Male,50+,185 cm,85 kg,Human,Demon Slayer Corps,null,null,null,Flame Breathing,null,Nichirin Sword,"Flame Breathing mastery, Exceptional combat skills",Manga Chapter 54,Manga Chapter 71,"Kyojuro Rengoku, Demon Slayer Corps",Demons,"Strict, Temperamental, Caring",null,null,Supporting Character
66,Ruka Rengoku,null,Alive,Female,null,160 cm,50 kg,Human,null,null,null,null,null,null,null,"Supportive, Caring, Nurturing",Manga Chapter 54,Manga Chapter 71,"Kyojuro Rengoku, Shinjuro Rengoku",null,"Kind, Gentle, Protective",null,null,Supporting Character
67,Senjuro Rengoku,null,Alive,Male,15,155 cm,48 kg,Human,null,Rengoku Family,null,null,null,null,null,"Observation skills, Quick learner, Supportive",Manga Chapter 54,Manga Chapter 71,"Kyojuro Rengoku, Ruka Rengoku",null,"Curious, Gentle, Caring",null,null,Supporting Character
68,Kie Kamado,null,Deceased,Female,null,160 cm,50 kg,Human,null,Kamado Family,null,null,null,null,null,"Caring, Protective, Nurturing",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",null,"Kind, Gentle, Loving",null,null,Supporting Character
69,Hanako Kamado,null,Deceased,Female,null,150 cm,45 kg,Human,null,Kamado Family,null,null,null,null,null,"Caring, Supportive, Protective",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",null,"Kind, Gentle, Loving",null,null,Supporting Character
70,Shigeru Kamado,null,Deceased,Male,null,165 cm,60 kg,Human,null,Kamado Family,Sakonji Urokodaki,null,null,null,null,"Protective, Caring, Supportive",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",null,"Kind, Gentle, Responsible",null,null,Supporting Character
71,Takeo Kamado,null,Deceased,Male,10,168 cm,62 kg,Human,null,Kamado Family,null,null,null,null,null,"Caring, Protective, Supportive",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",null,"Kind, Gentle, Responsible",null,null,Supporting Character
72,Rokuta Kamado,null,Deceased,Male,3,150 cm,40 kg,Human,null,Kamado Family,null,null,null,null,null,"Caring, Supportive, Playful",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",null,"Kind, Gentle, Innocent",null,null,Supporting Character
73,Sumiyoshi,null,Alive,Male,25,175 cm,65 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Stealth, Support in missions, Observation",Manga Chapter 54,Manga Chapter 100,Demon Slayer Corps Members,Demons,"Loyal, Observant, Calm",null,null,Supporting Character
74,Suyako,null,Alive,Female,23,160 cm,50 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support in missions, Healing, Observation",Manga Chapter 54,Manga Chapter 100,Demon Slayer Corps Members,Demons,"Kind, Caring, Observant",null,null,Supporting Character
75,Sumire,null,Alive,Female,17,158 cm,48 kg,Human,Demon Slayer Corps,null,null,null,null,null,null,"Support, Observation, Combat Assistance",Manga Chapter 60,Manga Chapter 102,Demon Slayer Corps Members,Demons,"Cheerful, Supportive, Brave",null,null,Supporting Character
76,Yahaba,null,Deceased,Male,null,175 cm,68 kg,Demon,null,null,null,Upper Rank Five,null,Blood Demon Art,null,"Arrow manipulation, Superhuman abilities",Manga Chapter 102,Manga Chapter 197,"Upper Rank Six (Nakime), Daki, Gyutaro",Demon Slayer Corps,"Aggressive, Loyal to Muzan, Strategic",null,null,Antagonist
77,Susamaru,null,Deceased,Female,null,160 cm,48 kg,Demon,null,null,null,null,null,Ball Demon Art,null,"Superhuman strength, Ball throwing attacks",Manga Chapter 57,Manga Chapter 57,"Enmu, Other Lower-Rank Demons",Demon Slayer Corps,"Aggressive, Playful, Loyal to Muzan",null,null,Antagonist
78,Spider Mother,null,Deceased,Female,50,180 cm,70 kg,Demon,null,null,null,null,null,Spider Demon Art,null,"Web manipulation, Superhuman strength",Manga Chapter 80,Manga Chapter 84,Spider Demon Family,Demon Slayer Corps,"Manipulative, Cruel, Obsessive",null,null,Antagonist
79,Spider Father,null,Deceased,Male,54,190 cm,80 kg,Demon,null,null,null,null,null,Spider Demon Art,null,"Web manipulation, Superhuman strength",Manga Chapter 80,Manga Chapter 84,Spider Demon Family,Demon Slayer Corps,"Manipulative, Cruel, Obsessive",null,null,Antagonist
80,Spider Sister,null,Deceased,Female,16,170 cm,55 kg,Demon,null,null,null,null,null,Spider Demon Art,null,"Web manipulation, Agility, Superhuman strength",Manga Chapter 80,Manga Chapter 84,Spider Demon Family,Demon Slayer Corps,"Cruel, Cunning, Loyal to Spider Father",null,null,Antagonist
81,Spider Brother,null,Deceased,Male,33,185 cm,75 kg,Demon,null,null,null,null,null,Spider Demon Art,null,"Web manipulation, Agility, Superhuman strength",Manga Chapter 80,Manga Chapter 84,Spider Demon Family,Demon Slayer Corps,"Cruel, Loyal, Cunning",null,null,Antagonist
